cliente_id,data_compra,valor_compra,produto_id,canal,cidade,device
cliente_1,2024-10-06 02:18:28.739238,1396.87,produto_4,web,São Paulo,iOS
cliente_1,2024-07-12 02:18:28.739275,468.63,produto_3,app,Rio de Janeiro,Desktop
cliente_1,2024-07-29 02:18:28.739289,1256.51,produto_4,callcenter,São Paulo,
cliente_1,2024-06-28 02:18:28.739300,173.79,produto_2,web,,Desktop
cliente_1,2025-04-11 02:18:28.739310,748.95,,web,Porto Alegre,
cliente_1,2025-01-09 02:18:28.739322,1046.32,produto_4,,Rio de Janeiro,Desktop
cliente_2,2025-04-13 02:18:28.739337,446.31,produto_3,web,Rio de Janeiro,
cliente_2,2024-08-09 02:18:28.739348,706.34,produto_3,app,Porto Alegre,Desktop
cliente_2,,397.95,produto_2,callcenter,Curitiba,Android
cliente_2,2024-07-29 02:18:28.739369,1023.43,produto_2,web,,iOS
,2024-07-21 02:18:28.739378,818.03,,callcenter,São Paulo,
cliente_2,2025-01-10 02:18:28.739388,740.69,produto_3,web,Porto Alegre,Android
cliente_2,2025-01-08 02:18:28.740032,980.28,,callcenter,São Paulo,Desktop
cliente_2,,616.22,produto_1,app,São Paulo,Android
cliente_2,2024-11-19 02:18:28.740057,141.2,produto_2,web,São Paulo,iOS
cliente_2,2025-03-10 02:18:28.740065,345.01,produto_1,callcenter,São Paulo,Desktop
cliente_2,2024-06-05 02:18:28.740071,1477.51,produto_3,app,Porto Alegre,Android
cliente_2,2024-08-12 02:18:28.740078,1394.09,produto_4,callcenter,Belo Horizonte,Desktop
cliente_2,2025-02-07 02:18:28.740084,,produto_2,app,São Paulo,Android
cliente_3,2024-05-12 02:18:28.740093,1682.13,produto_2,callcenter,Rio de Janeiro,iOS
cliente_3,2024-08-29 02:18:28.740100,985.56,produto_4,web,Rio de Janeiro,iOS
cliente_3,2024-09-21 02:18:28.740106,1348.22,,,Belo Horizonte,Android
cliente_3,2025-04-29 02:18:28.740128,,produto_1,callcenter,São Paulo,iOS
cliente_3,2024-05-12 02:18:28.740135,1962.53,produto_3,web,Curitiba,Desktop
cliente_3,2025-02-08 02:18:28.740141,932.14,produto_4,app,Rio de Janeiro,Android
cliente_3,2025-02-26 02:18:28.740147,479.18,produto_3,web,Curitiba,iOS
cliente_4,2024-07-26 02:18:28.740154,776.86,produto_5,app,São Paulo,iOS
cliente_4,2024-09-28 02:18:28.740160,403.33,produto_3,web,Porto Alegre,Desktop
cliente_4,2025-04-29 02:18:28.740166,875.56,produto_5,,Belo Horizonte,Desktop
cliente_4,2024-07-31 02:18:28.740171,66.63,produto_2,app,Porto Alegre,Android
cliente_4,2024-09-26 02:18:28.740176,188.42,produto_1,app,Porto Alegre,Android
cliente_4,2024-05-23 02:18:28.740184,90.81,produto_5,web,Porto Alegre,iOS
cliente_4,2024-09-20 02:18:28.740193,1150.55,produto_3,app,Rio de Janeiro,Desktop
cliente_4,2024-08-30 02:18:28.740204,1619.97,produto_1,app,São Paulo,iOS
cliente_4,2024-12-15 02:18:28.740213,1733.03,produto_4,app,,Android
cliente_4,2024-08-13 02:18:28.740222,1973.76,produto_2,web,Rio de Janeiro,Android
cliente_4,2024-08-10 02:18:28.740230,61.47,produto_2,web,Curitiba,Desktop
cliente_5,,,produto_4,app,Curitiba,Desktop
cliente_5,,1321.1,produto_2,callcenter,São Paulo,iOS
cliente_5,2024-11-24 02:18:28.740248,613.44,produto_3,callcenter,Rio de Janeiro,iOS
cliente_5,2024-07-10 02:18:28.740253,1732.39,produto_2,app,Rio de Janeiro,Android
cliente_5,2025-03-08 02:18:28.740259,592.11,produto_1,app,São Paulo,Desktop
cliente_5,2024-07-29 02:18:28.740266,975.44,produto_5,callcenter,Curitiba,iOS
cliente_5,2025-01-13 02:18:28.740272,360.29,produto_5,web,São Paulo,Desktop
cliente_5,2024-06-30 02:18:28.740277,191.68,produto_3,web,Belo Horizonte,
cliente_5,2025-01-06 02:18:28.740284,,produto_4,web,Porto Alegre,Desktop
cliente_5,2024-11-25 02:18:28.740293,1180.03,produto_2,web,Rio de Janeiro,iOS
cliente_5,2024-09-27 02:18:28.740301,619.78,produto_2,callcenter,São Paulo,Desktop
cliente_5,2025-04-16 02:18:28.740309,535.41,,web,São Paulo,Android
,,1187.27,produto_4,web,Porto Alegre,iOS
cliente_6,2024-08-01 02:18:28.740335,1497.83,produto_2,web,Belo Horizonte,Android
cliente_6,2024-06-17 02:18:28.740341,70.46,produto_2,web,Porto Alegre,Android
cliente_6,2024-05-14 02:18:28.740346,124.37,produto_5,callcenter,Curitiba,
,2024-10-27 02:18:28.740356,1278.27,produto_1,web,,iOS
cliente_6,,1219.25,produto_3,callcenter,São Paulo,Desktop
cliente_6,2024-09-29 02:18:28.740375,1371.48,produto_4,callcenter,Belo Horizonte,
cliente_6,2024-05-19 02:18:28.740386,594.67,produto_5,callcenter,Curitiba,iOS
cliente_6,2024-12-10 02:18:28.740392,1434.1,produto_4,callcenter,Belo Horizonte,
cliente_7,2024-06-23 02:18:28.740400,819.37,produto_1,callcenter,Curitiba,Desktop
cliente_7,2024-05-27 02:18:28.740405,1552.88,produto_3,app,Belo Horizonte,iOS
cliente_7,2024-05-29 02:18:28.740411,1832.68,,web,Porto Alegre,Android
cliente_7,,1130.42,produto_5,app,Curitiba,Desktop
cliente_7,2024-07-22 02:18:28.740423,54.25,produto_2,web,Rio de Janeiro,Desktop
cliente_7,2024-10-31 02:18:28.740428,1612.47,produto_3,app,Belo Horizonte,Desktop
cliente_7,2024-07-05 02:18:28.740434,1870.07,produto_2,callcenter,,Android
cliente_8,2025-01-08 02:18:28.740442,771.72,produto_2,web,Rio de Janeiro,Desktop
cliente_8,2025-01-11 02:18:28.740447,1926.25,produto_5,callcenter,Rio de Janeiro,Android
,2025-04-23 02:18:28.740453,547.51,produto_4,callcenter,Curitiba,Desktop
cliente_8,2025-03-31 02:18:28.740458,,produto_3,,Porto Alegre,Desktop
